timestamp_utc,rule_path,rule_id,schema_valid,validation_message,compare_path,similarity_percentage,manual_validation
2026-06-16T08:45:47+00:00,json_rules\fbi_rules\sonnet-4.6-high\requirements\satisfy_d1_1_bridge.json,satisfy_d1_1_bridge,true,valid,json_rules\requirements\satisfy_d1_1_bridge.json,40.62,
2026-06-16T08:49:29+00:00,json_rules\fbi_rules\sonnet-4.6-high\requirements\satisfy_d2_1_girder.json,satisfy_d2_1_girder,true,valid,json_rules\requirements\satisfy_d2_1_girder.json,71.43,
2026-06-16T08:51:44+00:00,json_rules\fbi_rules\sonnet-4.6-high\requirements\satisfy_d2_1_1_girder_element.json,satisfy_d2_1_1_girder_element,true,valid,json_rules\requirements\satisfy_d2_1_1_girder_element.json,71.43,
2026-06-16T08:59:57+00:00,json_rules\fbi_rules\sonnet-4.6-high\superstructure\refine_girder_d1_to_d2.json,refine_girder_d1_to_d2,true,valid,json_rules\superstructure\refine_girder_d1_to_d2.json,67.86,
2026-06-16T09:05:37+00:00,json_rules\fbi_rules\sonnet-4.6-high\substructure\decompose_substructure_abutment.json,decompose_substructure_abutment,true,valid,json_rules\substructure\decompose_substructure_abutment.json,66.67,
2026-06-16T09:11:29+00:00,json_rules\fbi_rules\sonnet-4.6-high\substructure\decompose_abutment_d1_if1.json,decompose_abutment_d1_if1,true,valid,json_rules\substructure\decompose_abutment_d1_if1.json,61.99,
2026-06-16T09:14:45+00:00,json_rules\fbi_rules\sonnet-4.6-high\substructure\decompose_abutment_d1_if2.json,decompose_abutment_d1_if2,true,valid,json_rules\substructure\decompose_abutment_d1_if2.json,61.99,
2026-06-16T09:16:03+00:00,json_rules\fbi_rules\sonnet-4.6-high\substructure\decompose_abutment_d1_if1_if2.json,decompose_abutment_d1_if1_if2,true,valid,json_rules\substructure\decompose_abutment_d1_if1_if2.json,69.38,
2026-06-16T09:16:09+00:00,json_rules\fbi_rules\sonnet-4.6-high\modules\girder\grow_girder_module_d3.json,grow_girder_module_d3,true,valid,json_rules\modules\girder\grow_girder_module_d3.json,66.67,
2026-06-16T09:16:25+00:00,json_rules\fbi_rules\sonnet-4.6-high\modules\girder\seed_girder_module_d3.json,seed_girder_module_d3,true,valid,json_rules\modules\girder\seed_girder_module_d3.json,100.00,
2026-06-16T09:17:17+00:00,json_rules\fbi_rules\sonnet-4.6-high\modules\attachments\attach_kappe_d3_if5.json,attach_kappe_d3_if5,true,valid,json_rules\modules\attachments\attach_kappe_d3_if5.json,57.14,
2026-06-16T09:18:27+00:00,json_rules\fbi_rules\sonnet-4.6-high\modules\attachments\attach_expansion_d3_if1.json,attach_expansion_d3_if1,true,valid,json_rules\modules\attachments\attach_expansion_d3_if1.json,68.45,
2026-06-16T09:18:46+00:00,json_rules\fbi_rules\sonnet-4.6-high\modules\attachments\attach_expansion_d3_if2.json,attach_expansion_d3_if2,true,valid,json_rules\modules\attachments\attach_expansion_d3_if2.json,68.45,
2026-06-16T09:20:26+00:00,json_rules\fbi_rules\sonnet-4.6-high\modules\attachments\attach_fahrbahn_d3_if2.json,attach_fahrbahn_d3_if2,true,valid,json_rules\modules\attachments\attach_fahrbahn_d3_if2.json,71.43,
2026-06-16T09:22:40+00:00,json_rules\fbi_rules\sonnet-4.6-high\modules\foundation\attach_foundation_d2_middle_wall.json,attach_foundation_d2_middle_wall,true,valid,json_rules\modules\foundation\attach_foundation_d2_middle_wall.json,71.43,
2026-06-16T09:24:07+00:00,json_rules\fbi_rules\sonnet-4.6-high\modules\attachments\attach_kappe_d3_if6.json,attach_kappe_d3_if6,true,valid,json_rules\modules\attachments\attach_kappe_d3_if6.json,100.00,
2026-06-16T09:45:23+00:00,json_rules\fbi_rules\sonnet-4.6-max\requirements\satisfy_d1_1_bridge.json,satisfy_d1_1_bridge,true,valid,json_rules\requirements\satisfy_d1_1_bridge.json,71.43,
2026-06-16T09:45:40+00:00,json_rules\fbi_rules\sonnet-4.6-max\superstructure\refine_girder_d1_to_d2.json,refine_girder_d1_to_d2,true,valid,json_rules\superstructure\refine_girder_d1_to_d2.json,67.86,
2026-06-16T09:45:41+00:00,json_rules\fbi_rules\sonnet-4.6-max\substructure\decompose_substructure_abutment.json,decompose_substructure_abutment,true,valid,json_rules\substructure\decompose_substructure_abutment.json,66.67,
2026-06-16T09:45:58+00:00,json_rules\fbi_rules\sonnet-4.6-max\requirements\satisfy_d2_1_girder.json,satisfy_d2_1_girder,true,valid,json_rules\requirements\satisfy_d2_1_girder.json,71.43,
2026-06-16T09:46:01+00:00,json_rules\fbi_rules\sonnet-4.6-max\requirements\satisfy_d2_1_1_girder_element.json,satisfy_d2_1_1_girder_element,true,valid,json_rules\requirements\satisfy_d2_1_1_girder_element.json,57.14,
2026-06-16T09:46:40+00:00,json_rules\fbi_rules\sonnet-4.6-max\substructure\decompose_abutment_d1_if2.json,decompose_abutment_d1_if2,true,valid,json_rules\substructure\decompose_abutment_d1_if2.json,98.64,
2026-06-16T09:46:57+00:00,json_rules\fbi_rules\sonnet-4.6-max\substructure\decompose_abutment_d1_if1_if2.json,decompose_abutment_d1_if1_if2,true,valid,json_rules\substructure\decompose_abutment_d1_if1_if2.json,69.38,
2026-06-16T09:47:10+00:00,json_rules\fbi_rules\sonnet-4.6-max\modules\girder\seed_girder_module_d3.json,seed_girder_module_d3,true,valid,json_rules\modules\girder\seed_girder_module_d3.json,66.67,
2026-06-16T09:47:52+00:00,json_rules\fbi_rules\sonnet-4.6-max\modules\attachments\attach_kappe_d3_if5.json,attach_kappe_d3_if5,true,valid,json_rules\modules\attachments\attach_kappe_d3_if5.json,100.00,
2026-06-16T09:48:08+00:00,json_rules\fbi_rules\sonnet-4.6-max\modules\girder\grow_girder_module_d3.json,grow_girder_module_d3,true,valid,json_rules\modules\girder\grow_girder_module_d3.json,51.07,
2026-06-16T09:48:08+00:00,json_rules\fbi_rules\sonnet-4.6-max\modules\attachments\attach_kappe_d3_if6.json,attach_kappe_d3_if6,true,valid,json_rules\modules\attachments\attach_kappe_d3_if6.json,100.00,
2026-06-16T09:48:29+00:00,json_rules\fbi_rules\sonnet-4.6-max\modules\attachments\attach_expansion_d3_if2.json,attach_expansion_d3_if2,true,valid,json_rules\modules\attachments\attach_expansion_d3_if2.json,68.45,
2026-06-16T09:48:38+00:00,json_rules\fbi_rules\sonnet-4.6-max\modules\foundation\attach_foundation_d2_middle_wall.json,attach_foundation_d2_middle_wall,true,valid,json_rules\modules\foundation\attach_foundation_d2_middle_wall.json,71.43,
